"Message ID";"Date";"Author";"Type";"Run";"DAQ Name";"Good";"Problem Type";"Beam";"Energy";"Particles";"Attenuator upstream";"Attenuator downstream";"Source";"Gaz";"Scintillator";"Dif_Scintillator";"Tcherenkov";"Dif_Tcherenkov";"Position Bati X";"Position Bati Y";"Position Bati Z";"Number Dif";"Dif_Id1";"Position1 Z";"Type1";"HV1";"Gas Channel1";"HV Channel1";"Dif_Id2";"Position2 Z";"Type2";"HV2";"Gas Channel2";"HV Channel2";"Dif_Id3";"Position3 Z";"Type3";"HV3";"Gas Channel3";"HV Channel3";"Dif_Id4";"Position4 Z";"Type4";"HV4";"Gas Channel4";"HV Channel4";"Dif_Id5";"Position5 Z";"Type5";"HV5";"Gas Channel5";"HV Channel5";"Dif_Id6";"Position6 Z";"Type6";"HV6";"Gas Channel6";"HV Channel6";"Dif_Id7";"Position7 Z";"Type7";"HV7";"Gas Channel7";"HV Channel7";"Dif_Id8";"Position8 Z";"Type8";"HV8";"Gas Channel8";"HV Channel8";"Dif_Id9";"Position9 Z";"Type9";"HV9";"Gas Channel9";"HV Channel9"
87;Tue  04 Oct 2016 09:43:32 +0200;"DAQ";"Data";"733585";"GIFPP_OYONAX_12";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Not Set";;"No";;;;;"Six";"16";"150";"Unknown";"Not Set";;;"32";"160";"Unknown";"Not Set";;;"216";"180";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;"29";"200";"Unknown";"Not Set";;;"30";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;
88;Tue  04 Oct 2016 09:58:48 +0200;"DAQ";"Data";"733586";"GIFPP_OYONAX_12";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Not Set";;"No";;;;;"Six";"16";"150";"Unknown";"Not Set";;;"32";"160";"Unknown";"Not Set";;;"216";"180";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;"29";"200";"Unknown";"Not Set";;;"30";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;
89;Tue  04 Oct 2016 10:10:54 +0200;"DAQ";"Data";"733587";"GIFPP_OYONAX_12";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Not Set";;"No";;;;;"Six";"16";"150";"Unknown";"Not Set";;;"32";"160";"Unknown";"Not Set";;;"216";"180";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;"29";"200";"Unknown";"Not Set";;;"30";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;
90;Tue  04 Oct 2016 18:53:19 +0200;"DAQ";"Data";"733588";"GIFPP_OYONAX_12";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Not Set";;"No";;;;;"Six";"16";"150";"Unknown";"Not Set";;;"32";"160";"Unknown";"Not Set";;;"216";"180";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;"29";"200";"Unknown";"Not Set";;;"30";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;
91;Wed  05 Oct 2016 03:23:00 +0200;"Maxime Gouzevitch";"Comments";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Wed  05 Oct 2016 10:28:14 +0200;"DAQ";"Data";"733589";"GIFPP_OYONAX_12";"Not Set";;"Not Set";;;;;"OFF";"CMS";"Not Set";;"No";;;;;"Six";"16";"150";"Unknown";"7000";;;"32";"160";"Unknown";"7000";;;"216";"180";"Unknown";"7000";;;"28";"200";"Unknown";"7000";;;"29";"200";"Unknown";"7000";;;"30";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;
93;Wed  05 Oct 2016 10:36:14 +0200;"DAQ";"Data";"733590";"GIFPP_OYONAX_12";"Not Set";;"Not Set";;;;;"OFF";"CMS";"Not Set";;"No";;;;;"Six";"16";"150";"Unknown";"7000";;;"32";"160";"Unknown";"7000";;;"216";"180";"Unknown";"7000";;;"28";"200";"Unknown";"7000";;;"29";"200";"Unknown";"7000";;;;;;"7000";;;;;;;;;;;;;;;;;;;;
94;Wed  05 Oct 2016 12:01:02 +0200;"DAQ";"Data";"733591";"GIFPP_OYONAX_12";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Not Set";;"No";;;;;"Six";"16";"150";"Unknown";"Not Set";;;"32";"160";"Unknown";"Not Set";;;"216";"180";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;"29";"200";"Unknown";"Not Set";;;"30";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;
95;Wed  05 Oct 2016 15:29:43 +0200;"DAQ";"Data";"733592";"GIFPP_OYONAX_12";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Not Set";;"No";;;;;"Six";"16";"150";"Unknown";"Not Set";;;"32";"160";"Unknown";"Not Set";;;"216";"180";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;"29";"200";"Unknown";"Not Set";;;"30";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;
96;Thu  06 Oct 2016 12:31:10 +0200;"DAQ";"Data";"733594";"GIFPP_OYONAX_12";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Not Set";;"No";;;;;"Six";"16";"150";"Unknown";"7000";;;"32";"160";"Unknown";"Not Set";;;"216";"180";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;"29";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;;;;;;;
