"Message ID";"Date";"Auteur";"Detecteur";"Run";"Faisceau";"Energie";"Seuil0";"Seuil1";"Evenements";"Absorbeur";"HV";"Gaz";"PositionX";"OK";"Text"
25563;Wed  10 Oct 2018 06:09:54 +0200;"SPS_ZOZO10_2018";"tricot + aegis";"744385";"Muons";;;;"9648";"beam dump";"7.6";"2 % SF6 5% CO2 93% TFE";;;"DB=Dome_42chambres_Reference_v4_280 
aegis + tricot at 7.6kV
          P          T  
     964.41     294.55 "
25562;Wed  10 Oct 2018 06:00:48 +0200;"SPS_ZOZO10_2018";;"744384";;;;;"started";;;;;"Bad data";"DB=Dome_42chambres_Reference_v4_280 "
25561;Wed  10 Oct 2018 05:21:22 +0200;"SPS_ZOZO10_2018";"m3";"744381";"Pi-";"5GeV";"uniform";;"144";"lead8mm";"6.7";"2 % SF6 5% CO2 93% TFE";"top right";;"DB=Dome_42chambres_Reference_v4_280 
Mostly e- in the beams....stopping and moving to muons for the tricot/cms/aegis
XCET1 (N2) : 1.3bar (e-)
XCET2 (He) : 3bar (some e-)"
25560;Wed  10 Oct 2018 05:11:58 +0200;"SPS_ZOZO10_2018";"m3";"744380";"Pi-";"5GeV";"uniform";;"232";"lead8mm";"6.7";"2 % SF6 5% CO2 93% TFE";"top right";;"DB=Dome_42chambres_Reference_v4_280 
DIF 129 stopped at 232 with a lot of bad global header
          P          T  
     964.76     294.75 

Beam seems to be mostly e- (>75%) according to Cerenkov info,
XCET1 (N2) : 1.3bar (e-)
XCET2 (He) : 3bar (some e-)"
25559;Wed  10 Oct 2018 04:50:23 +0200;"SPS_ZOZO10_2018";"m3";"744379";"Pi-";"30 GeV";"uniform";;"528";"lead8mm";"6.7";"2 % SF6 5% CO2 93% TFE";"top right";;"DB=Dome_42chambres_Reference_v4_280 
          P          T  
     965.05     294.85 "
25558;Wed  10 Oct 2018 04:09:16 +0200;"SPS_ZOZO10_2018";"m3";"744377";"Pi-";"30 GeV";"uniform";;"987";"lead8mm";"6.7";"2 % SF6 5% CO2 93% TFE";"top right";;"DB=Dome_42chambres_Reference_v4_280 
Stuck at 987, Spill/Busy1 number at 1615 though..."
25557;Wed  10 Oct 2018 03:43:25 +0200;"SPS_ZOZO10_2018";"m3";"744376";"Pi-";"30 GeV";"uniform";;"626";"lead8mm";"6.7";"2 % SF6 5% CO2 93% TFE";"top right";;"DB=Dome_42chambres_Reference_v4_280 "
25556;Wed  10 Oct 2018 03:37:59 +0200;"SPS_ZOZO10_2018";"m3";"744374";"Pi-";"30 GeV";"uniform";;"130";"lead8mm";"6.7";"2 % SF6 5% CO2 93% TFE";"top right";;"DB=Dome_42chambres_Reference_v4_280 "
25555;Wed  10 Oct 2018 02:11:13 +0200;"SPS_ZOZO10_2018";"m3";"744373";"Pi-";"30 GeV";"uniform";;"2380";"lead8mm";"6.7";"2 % SF6 5% CO2 93% TFE";"top right";;"DB=Dome_42chambres_Reference_v4_280 
DIF110 stop acq at 2380trig

          P          T  
     965.93     295.15
XCET1 (N2): 1.3bar
XCET2 (He): 3bar"
25554;Wed  10 Oct 2018 01:43:54 +0200;"SPS_ZOZO10_2018";"m3";"744372";"Pi-";"10GeV";"uniform";;"798";"lead8mm";"6.7";"2 % SF6 5% CO2 93% TFE";"top right";;"DB=Dome_42chambres_Reference_v4_280 
          P          T  
     966.12     295.25 "
25553;Wed  10 Oct 2018 00:25:12 +0200;"SPS_ZOZO10_2018";"m3";"744371";"Pi-";"10GeV";"uniform";;"2520";"lead8mm";"6.7";"2 % SF6 5% CO2 93% TFE";"top right";;"DB=Dome_42chambres_Reference_v4_280 
DIF110 stopped daq at 2520
          P          T  
     966.14     295.25 

XCET1 (N2) : scan from 1.5->0.3bar (scan on Pions efficiency)
XCET2 (He) : 3bar (tagging only e-) "
25552;Tue  09 Oct 2018 22:29:09 +0200;"SPS_ZOZO10_2018";"m3";"744369";"Pi-";"10GeV";"uniform";;"1457";"lead8mm";"6.7";"2 % SF6 5% CO2 93% TFE";"top right";;"DB=Dome_42chambres_Reference_v4_280 
          P          T  
     966.43     295.85 
DIF110 stopped acq"
25551;Tue  09 Oct 2018 18:30:25 +0200;"SPS_ZOZO10_2018";"m3";"744367";"Pi-";"20 GeV";"uniform";;"5331";"lead8mm";"6.7";"2 % SF6 5% CO2 93% TFE";"top right";;"DB=Dome_42chambres_Reference_v4_280 "
25550;Tue  09 Oct 2018 18:03:43 +0200;"SPS_ZOZO10_2018";"m3";"744366";"Pi-";"20 GeV";"uniform";;"started";"lead 5 mm";"6.7";"2 % SF6 5% CO2 93% TFE";"top right";;"DB=Dome_42chambres_Reference_v4_280 
lead 5mm instead of 18mm suggested by Bastien for 20 GeV (try to increase a bit the pion rate which is very low)
Beam tuning by Nikos beam rate fluctuating"
25549;Tue  09 Oct 2018 17:32:26 +0200;"SPS_ZOZO10_2018";"m3";"744364";"Pi-";"20 GeV";"uniform";;"358";"18 mm lead";"6.7";"2 % SF6 5% CO2 93% TFE";"top right";;"DB=Dome_42chambres_Reference_v4_280 

Very low intensity / noisy chambers"
